ORDERS,1,,,,,711201605,1611204306,,,37,,,,,,,,,19960102,1,-1971473655,-1640531448,,,,,,,,,,,0,,,,,131251.81,
ORDERS,1,,,,,711254429,-470576889,,,79,,,,,,,,,19961201,2,-1173015422,-1640531448,,,,,,,,,,,0,,,,,40183.29,
ORDERS,1,,,,,711201609,62072894,,,124,,,,,,,,,19931014,3,-1971473655,-1640531457,,,,,,,,,,,0,,,,,160882.76,
ORDERS,1,,,,,711692417,-644388106,,,137,,,,,,,,,19951011,4,-1971473655,-1640531448,,,,,,,,,,,0,,,,,31084.79,
ORDERS,1,,,,,711201930,-175690926,,,46,,,,,,,,,19940730,5,-1971473655,-1640531457,,,,,,,,,,,0,,,,,86615.25,
ORDERS,1,,,,,711221726,-1088174307,,,56,,,,,,,,,19920221,6,2037488672,-1640531457,,,,,,,,,,,0,,,,,36468.55,
ORDERS,1,,,,,709952338,2027604725,,,40,,,,,,,,,19960110,7,-1292334363,-1640531448,,,,,,,,,,,0,,,,,171488.73,
ORDERS,1,,,,,711213624,-401161202,,,131,,,,,,,,,19950716,32,-1292334363,-1640531448,,,,,,,,,,,0,,,,,116923,
ORDERS,1,,,,,709951883,470133413,,,67,,,,,,,,,19931027,33,905447686,-1640531457,,,,,,,,,,,0,,,,,99798.76,
ORDERS,1,,,,,711689073,1363446851,,,62,,,,,,,,,19980721,34,905447686,-1640531448,,,,,,,,,,,0,,,,,41670.02,
CUSTOMER,1,711.56,-1017807478,,,,-1304369676,,,1,,,,,,1080548553,-2080071756,15,,,,,,1044605431,,,,,,,,,,,,,,,
CUSTOMER,1,121.65,-682884147,,,,568421499,,,2,,,,,,-1828219609,-2080071757,13,,,,,,-130164745,,,,,,,,,,,,,,,
CUSTOMER,1,7498.12,266906482,,,,848668019,,,3,,,,,,-1828219609,-2080071758,1,,,,,,637870712,,,,,,,,,,,,,,,
CUSTOMER,1,2866.83,-275903520,,,,1515725389,,,4,,,,,,-2143728437,-2080071759,4,,,,,,-2079523504,,,,,,,,,,,,,,,
CUSTOMER,1,794.47,1462744184,,,,-2058044064,,,5,,,,,,-590410277,-2080071760,3,,,,,,63589746,,,,,,,,,,,,,,,
CUSTOMER,1,7638.57,-2017242061,,,,974717207,,,6,,,,,,-1828219609,-2080071745,20,,,,,,690764110,,,,,,,,,,,,,,,
CUSTOMER,1,9561.95,2043120247,,,,-2016794467,,,7,,,,,,-1828219609,-2080071746,18,,,,,,113764666,,,,,,,,,,,,,,,
CUSTOMER,1,6819.74,-1051488933,,,,-2088347068,,,8,,,,,,1080548553,-2080071747,17,,,,,,-1189630088,,,,,,,,,,,,,,,
CUSTOMER,1,8324.07,322872796,,,,885666259,,,9,,,,,,-1574195668,-2080071748,8,,,,,,665170556,,,,,,,,,,,,,,,
CUSTOMER,1,2753.54,-20679330,,,,710641419,,,10,,,,,,-590410277,-2080072458,5,,,,,,1034449549,,,,,,,,,,,,,,,
ORDERS,1,,,,,711688507,393844819,,,128,,,,,,,,,19951023,35,2037488672,-1640531448,,,,,,,,,,,0,,,,,148789.52,
ORDERS,1,,,,,709980393,-407097884,,,116,,,,,,,,,19951103,36,-1173015422,-1640531448,,,,,,,,,,,0,,,,,38988.98,
ORDERS,1,,,,,709951706,-285991823,,,88,,,,,,,,,19920603,37,905447686,-1640531457,,,,,,,,,,,0,,,,,113701.89,
ORDERS,1,,,,,711214585,1749096223,,,125,,,,,,,,,19960821,38,2037488672,-1640531448,,,,,,,,,,,0,,,,,46366.56,
ORDERS,1,,,,,711213880,1053202155,,,82,,,,,,,,,19960920,39,905447686,-1640531448,,,,,,,,,,,0,,,,,219707.84,
ORDERS,1,,,,,711213937,248841089,,,34,,,,,,,,,19940716,64,905447686,-1640531457,,,,,,,,,,,0,,,,,20065.73,
ORDERS,1,,,,,711213757,-1318846140,,,17,,,,,,,,,19950318,65,-1173015422,-1640531447,,,,,,,,,,,0,,,,,65883.92,
ORDERS,1,,,,,711258670,21544263,,,130,,,,,,,,,19940120,66,-1971473655,-1640531457,,,,,,,,,,,0,,,,,79258.24,
ORDERS,1,,,,,711217800,1943229929,,,58,,,,,,,,,19961219,67,2037488672,-1640531448,,,,,,,,,,,0,,,,,116227.05,
ORDERS,1,,,,,709951633,161037269,,,29,,,,,,,,,19980418,68,905447686,-1640531448,,,,,,,,,,,0,,,,,215135.72,
ORDERS,1,,,,,709980270,-1642864076,,,85,,,,,,,,,19940604,69,2037488672,-1640531457,,,,,,,,,,,0,,,,,162176.23,
ORDERS,1,,,,,709980193,-1707616914,,,65,,,,,,,,,19931218,70,-1971473655,-1640531457,,,,,,,,,,,0,,,,,84651.8,
ORDERS,1,,,,,711688625,259920813,,,4,,,,,,,,,19980124,71,2037488672,-1640531448,,,,,,,,,,,0,,,,,178821.73,
ORDERS,1,,,,,709981161,-535966014,,,109,,,,,,,,,19940417,96,-1292334363,-1640531457,,,,,,,,,,,0,,,,,55090.67,
