25260635,36721,B,100,10000
25260709,36909,S,50,238500
25260709,36911,S,30,276900
25260710,36913,S,50,237500
25260712,36923,S,30,280000
25260714,36932,S,35,327100
25260771,37229,B,10,184000
25260772,37237,B,55,190000
25260775,37263,B,10,160700
25260775,37267,B,10,173700
25260776,37271,B,28,176000
25260776,37275,B,10,175300
25260779,37299,B,5,100700
25265754,37271,D,0,0
25265759,37229,D,0,0
25265765,37237,D,0,0
25265772,46348,B,28,176000
25265779,46355,B,10,184000
25265793,37263,D,0,0
25265795,37267,D,0,0
25265796,37299,D,0,0
25265796,37275,D,0,0
25265797,46363,B,55,190000
25265830,46388,B,10,160700
25265832,46396,B,10,173700
25265833,46399,B,5,100700
25265833,46400,B,10,175300
25313084,54891,S,25,214900
25323008,56176,S,500,202500
25330601,57976,B,500,195000
25381203,62467,B,1,10000
25386866,62859,B,1,10000
25391188,62859,D,0,0
25391256,62467,D,0,0
25408866,36721,D,0,0
25419426,69377,B,1,10000
25424677,70367,B,1,10000
25460527,70367,D,0,0
25471014,69377,D,0,0
25499558,87913,B,100,10000
25504208,87913,D,0,0
25509632,90097,B,800,195200
25515315,90939,B,1,10000
25520615,91729,B,1,10000
25584223,57976,D,0,0
25587868,101635,B,200,195200
25607856,90939,D,0,0
25612452,101635,D,0,0
25615272,106653,B,200,195300
25620732,91729,D,0,0
25838658,141875,B,1,100
25848649,141875,D,0,0
26095691,165744,B,800,197500
26236457,178148,B,400,195600
26261348,180911,B,200,190500
26272913,180911,D,0,0
26345296,178148,D,0,0
26355263,186813,B,400,195700
26378141,188410,B,1,100
26388047,188410,D,0,0
26426098,165744,D,0,0
26431620,192317,B,800,197600
26506942,186813,D,0,0
26515193,200083,B,400,195600
26714794,192317,E,400,0
26731271,192317,E,400,0
26752865,227027,B,100,191800
26876137,200083,D,0,0
27000158,253542,B,100,100
27000161,253551,S,100,20000000
27105893,389056,B,500,197100
27683927,642050,B,100,100
27683927,642051,S,100,20000000
28158544,712392,B,1000,197600
28167827,713112,B,400,195000
28170793,713685,S,1000,202000
28271405,389056,D,0,0
28271471,728199,B,500,197700
28281303,729412,B,1,10000
28335251,729412,D,0,0
28448794,748490,S,3900,200700
28500061,253551,D,0,0
28500062,757475,S,100,948700
28552937,728199,D,0,0
28553011,767536,B,500,197600
28560098,768703,B,1,100
28560998,768703,D,0,0
28561899,769010,B,1,100
28562798,769010,D,0,0
28563698,769241,B,1,100
28564597,769241,D,0,0
28581615,767536,D,0,0
28581698,772814,B,500,196500
28760881,796818,S,1000,199400
28800085,805197,B,100,188700
28800094,805420,B,4000,192200
28800098,805498,S,165,230000
28800103,805613,S,350,212000
28800106,805698,B,500,182500
28800107,805717,S,31,285000
28800109,805759,S,500,226000
28800109,805768,B,65,185000
28800115,805892,B,100,170300
28800118,805958,S,250,272500
28800118,805967,S,75,315400
28800120,806004,S,80,295000
28800120,806015,S,70,270000
28800121,806027,S,100,244000
28800122,806048,S,1850,220000
28800127,806183,B,1142,180000
28800133,806310,B,75,163700
28800136,806385,S,10000,209400
28800139,806456,B,100,175100
28800143,806556,S,100,237400
28800145,806603,S,500,220000
28800150,806716,S,350,255000
28800151,806753,S,16,280000
28800154,806815,S,1000,340000
28800154,806821,S,100,276500
28800158,806903,S,50,285000
28800171,807225,S,500,254000
28800171,807233,S,20,240000
28800182,807488,S,50,269000
28800183,807499,S,1000,260000
28800186,807565,S,1500,238700
28800189,807631,S,40,400000
28800192,807714,S,300,225000
28800194,807761,S,1067,204900
28800196,807810,S,11,295000
28800198,807866,S,100,288000
28800199,807880,B,900,190000
28800199,807889,B,15,169700
28800221,808389,S,200,300000
28800221,808405,B,300,168700
28800222,808430,S,200,380000
28800232,808659,B,25,163400
28800233,808679,S,200,280000
28800241,808872,B,10000,1200
28800242,808897,B,7,168000
28800247,809012,S,200,297500
28800248,809037,S,25,300000
28800249,809059,S,200,270000
28800257,809246,S,88,255000
28800260,809328,S,226,277200
28800273,809653,S,400,218800
28800276,809701,S,350,253000
28800277,809727,S,1000,261400
28800278,809749,S,100,245000
28800282,809854,S,200,267500
28800286,809961,B,655,165500
28800288,810003,S,100,220000
28800291,810066,S,100,244500
28800291,810077,B,300,190000
28800305,810384,B,1000,90000
28800308,810469,S,2500,220000
28800315,810637,S,500,218500
28800319,810723,S,600,356000
28800330,810986,S,200,230000
28800333,811040,S,200,485000
28800337,811152,S,80,216400
28800341,811246,B,300,160100
28800342,811273,B,100,172500
28800346,811365,S,130,260000
28800346,811372,S,1000,230000
28800348,811401,S,100,270000
28800348,811413,S,210,320000
28800358,811642,S,1807,217000
28800358,811645,S,300,233800
28800365,811809,S,2400,320000
28800365,811823,S,100,254900
28800371,811953,S,200,361000
28800381,812193,S,100,345000
28800382,812211,S,1000,350000
28800385,812276,B,300,184000
28800386,812306,S,500,295000
28800389,812376,B,100,170000
28800396,812526,S,179,237600
28800403,812670,S,20,210900
28800414,812910,S,2300,205000
28800417,812962,S,600,280000
28800426,813186,S,298,250000
28800437,813444,S,612,245000
28800442,813554,S,45,270000
28800445,813628,S,200,209000
28800448,813675,S,300,280000
28800449,813701,S,4000,220000
28800451,813737,S,200,315000
28800459,813906,S,300,325000
28800467,814082,S,200,250000
28800471,814166,B,30,177500
28800475,814252,S,523,275000
28800486,814498,S,40,370000
28800490,814594,B,200,176600
28800491,814602,S,50,280000
28800495,814704,S,29,280500
28800498,814755,S,193,256300
28800505,814900,B,250,183000
28800512,815056,S,51,300000
28800519,815196,S,100,295000
28800521,815236,B,500,9700
28800523,815280,S,402,300000
28800529,815424,B,100,140000
28800530,815443,S,135,222200
28800535,815543,S,200,266600
28800545,815770,S,400,510000
28800550,815886,S,200,262500
28800568,816285,S,100,235000
28800570,816334,S,1000,222500
28800570,816343,S,186,279500
28800574,816428,S,128,400000
28800579,816543,B,300,190500
28800580,816549,B,1000,185000
28800583,816625,S,500,231500
28800583,816627,S,200,205000
28800590,816779,S,250,244000
28800608,817179,S,35,288000
28800614,817296,S,100,280000
28800625,817530,B,200,168700
28800625,817536,S,100,260000
28800635,817752,S,100,330900
28800635,817768,B,100,187500
28800645,817983,S,75,343400
28800658,818265,S,7,218500
28800663,818391,S,400,352000
28800665,818446,S,100,380000
28800668,818505,S,300,330000
28800669,818539,S,738,300000
28800678,818751,S,150,288800
28800685,818900,S,102,400000
28800701,819324,S,110,233000
28800705,819421,B,100,180000
28800706,819444,B,100,180000
28800708,819501,S,126,290000
28800709,819519,S,2000,263000
28800718,819762,S,75,290000
28800719,819781,S,110,320000
28800723,819866,S,300,222500
28800726,819935,S,100,265000
28800728,819972,B,1000,100000
28800728,819978,S,100,260000
28800733,820089,S,246,226000
28800736,820156,S,100,310000
28800737,820187,S,400,225600
28800740,820242,S,500,236800
28800742,820275,S,160,257900
28800745,820349,B,200,150000
28800746,820385,S,50,270000
28800749,820451,S,150,420000
28800758,820642,B,100,192500
28800758,820654,S,50,220000
28800759,820683,S,200,250000
28800763,820768,S,20,240000
28800771,820966,S,150,325000
28800772,820979,S,378,300000
28800783,821239,B,57,172700
28800785,821285,S,224,400000
28800787,821325,S,100,303800
28800792,821442,S,100,245000
28800802,821656,S,200,230000
28800803,821692,S,64,310000
28800815,822001,S,100,250000
28800826,822270,S,120,281000
28800835,822481,S,506,299000
28800840,822596,B,300,170000
28800840,822601,B,25,170100
28800851,822874,S,100,249500
28800853,822912,S,140,220000
28800854,822945,S,500,422500
28800860,823083,S,100,300000
28800863,823160,B,50,158000
28800874,823405,S,100,299500
28800883,823629,S,100,350000
28800884,823669,S,200,260000
28800885,823681,S,220,290000
28800891,823836,B,1000,120100
28800894,823894,S,500,300000
28800902,824118,S,14,350000
28800910,824316,S,500,275000
28800910,824317,S,60,559800
28800918,824511,S,500,375000
28800925,824713,B,100,190000
28800926,824716,B,200,196600
28800927,824744,S,357,280000
28800927,824746,B,1000,165500
28800931,824861,S,500,290000
28800932,824886,B,133,150000
28800938,825042,B,100,165000
28800945,825212,S,80,350000
28800949,825318,S,100,282500
28800958,825501,S,100,245000
28800959,825533,S,37,295000
28800959,825535,S,200,228000
28800971,825786,S,150,320000
28800972,825802,S,300,400000
28800975,825873,S,200,292500
28800975,825880,S,100,283500
