9|10096|O|70670.35|1995-10-13|3-MEDIUM|Clerk#000000052|0|ts promise slyly. express packages above the carefully ironic account
10|1286|F|148940.57|1992-07-21|1-URGENT|Clerk#000000904|0| furiously according to the quickly ironic requests. ironic accounts ha
11|10132|F|180505.05|1992-11-27|4-NOT SPECIFIED|Clerk#000000283|0| slyly ironic packages. quickly pending foxes haggle across
12|3590|F|22342.09|1992-07-07|3-MEDIUM|Clerk#000000967|0| even deposits. quickly
13|1397|O|275483.56|1997-02-19|5-LOW|Clerk#000000771|0| cajole slyly. quickly quick deposits are fluffily. unusual p
14|8311|O|256192.57|1996-09-16|3-MEDIUM|Clerk#000000447|0|final accounts. special requests against the
15|9772|F|262305.86|1993-06-18|1-URGENT|Clerk#000000936|0|al ideas affix even 
40|1588|O|38410.68|1995-11-05|3-MEDIUM|Clerk#000000406|0|es sleep furiously pending accounts. idly special packages nag carefully. 
41|4304|F|140590.01|1992-05-23|2-HIGH|Clerk#000000593|0|kages wake quickly along th
42|289|O|154065.00|1996-04-24|1-URGENT|Clerk#000000374|0|al packages. pending foxes wake carefully. fluffily final instructions to the
43|2711|O|18848.48|1995-10-21|4-NOT SPECIFIED|Clerk#000000920|0|uches haggle fluffily furiously regular 
44|481|O|289262.94|1997-01-25|3-MEDIUM|Clerk#000000073|0|kages wake slyly after the
45|10774|F|60111.16|1994-06-26|3-MEDIUM|Clerk#000000413|0|ld deposits! regular packages boost despite th
46|12070|O|259147.50|1998-01-14|5-LOW|Clerk#000000299|0|ounts wake furiously regular packages. slyly ironic packages cajole sly
47|3014|F|19854.95|1994-08-08|3-MEDIUM|Clerk#000000015|0|y express pinto beans. unusual platelets against the expres
72|8902|O|168707.75|1997-11-04|4-NOT SPECIFIED|Clerk#000000827|0|er accounts. bold pinto bean
73|14645|F|207652.92|1993-09-15|3-MEDIUM|Clerk#000000398|0|e. carefully regular requests cajole quickly? bold, even deposits against the 
74|2986|F|37989.59|1992-09-22|4-NOT SPECIFIED|Clerk#000000066|0|eposits haggle unusual requests. final, furious hockey players ab
75|1924|F|5722.07|1993-06-23|1-URGENT|Clerk#000000589|0|fully express packages. carefully bold accounts across the f
76|8314|O|144457.75|1997-04-24|1-URGENT|Clerk#000000145|0|y final accounts eat above the final ideas? express, final theodolites are c
77|4705|F|168383.61|1993-01-09|4-NOT SPECIFIED|Clerk#000000156|0|blithely blithely regular
78|12361|F|81014.98|1994-03-16|4-NOT SPECIFIED|Clerk#000000545|0| must have to sleep after the slyly silent foxes. theodolites nag 
79|2332|F|139370.76|1992-07-27|4-NOT SPECIFIED|Clerk#000000468|0|sly. slyly even requests are pending a
104|2941|F|27291.67|1993-08-05|5-LOW|Clerk#000000900|0|gular theodolites wake quickly according to the fluffily
105|4318|O|287439.15|1997-02-03|2-HIGH|Clerk#000000133|0| the furiously regular dependencies. finally sile
106|1714|O|210919.43|1998-03-31|5-LOW|Clerk#000000217|0|nto beans sleep quickly accounts. express accounts with the slyly regula
107|6469|F|248112.92|1994-11-03|3-MEDIUM|Clerk#000000797|0|ular requests boost. carefully even platelets ha
108|13663|F|55524.82|1994-11-01|3-MEDIUM|Clerk#000000909|0|e quickly dolphins. carefully special package
109|6997|P|277834.41|1995-04-08|4-NOT SPECIFIED|Clerk#000000153|0|furiously ironic packages about t
110|12376|F|83797.35|1994-01-10|3-MEDIUM|Clerk#000000032|0|e the ironically special pinto beans. carefully unusual instructions 
111|1222|O|141283.44|1996-05-08|2-HIGH|Clerk#000000385|0|er the regular ideas wake quickly about the slyly even request
136|1934|O|126890.64|1995-12-21|3-MEDIUM|Clerk#000000184|0| the deposits are aroun
137|5096|O|101500.11|1997-01-08|2-HIGH|Clerk#000000854|0|ironic, regular dependencies.
